major,count
Accounting,5
Actuarial Science,79
Advertising & Public Relations,8
Art,1
Biochemistry,1
Biological Sciences,1
Biological Systems Engineering,1
Broadcasting,8
Business Administration,5
Business Freshman,1
Civil Engineering,1
Communication Studies,2
Computer Science,4
Credit IEP Program,1
Economics Freshman,2
Economics Sophomore,1
Electrical Engineering,2
English,3
Finance,3
Food Science and Technology,1
Geology,1
Global Security Studies,1
Global Studies,1
History,2
Journalism,5
Management (Leadership),1
Mathematics,6
Mechanized Systems Management,1
Microbiology,1
Music,6
Music Education,5
Nutrition & Health Sciences,1
Political Science,3
Pre Criminology & Crim Justice,1
Pre Elementary Education,1
Pre-Health,2
Psychology,8
Psychology Senior,1
Social Science,2
Supply Chain Management,1
Theatre,1
Undeclared,27
